Date,Open,High,Low,Close,Volume
2015-01-01,373.44,404.73,345.87,349.57,2134615
2015-01-02,197.08,218.12,184.58,212.99,4240443
2015-01-05,399.27,419.56,357.8,383.83,2429851
2015-01-06,165.49,196.8,160.93,168.81,1353820
2015-01-07,441.49,475.2,420.16,467.26,2264712
2015-01-08,241.69,267.69,194.61,204.63,2022822
2015-01-09,446.21,476.7,433.34,469.07,1978605
2015-01-12,408.87,437.96,369.22,384.37,2092242
2015-01-13,147.74,181.69,126.48,138.57,443688
2015-01-14,482.26,507.06,473.29,499.57,4390780
2015-01-15,327.01,358.61,307.46,351.43,969762
2015-01-16,321.38,358.55,297.7,307.06,3663973
2015-01-19,357.24,365.62,321.71,327.73,4745016
2015-01-20,261.86,280.38,226.59,244.01,4539557
2015-01-21,451.84,461.78,440.01,461.2,1584565
2015-01-22,441.84,466.73,397.57,426.77,3642712
2015-01-23,428.78,452.81,392.4,451.13,1307298
2015-01-26,354.24,359.97,310.7,335.14,717207
2015-01-27,233.43,262.01,225.25,242.13,1326165
2015-01-28,192.66,194.53,169.49,187.73,3126313
2015-01-29,483.07,515.1,457.88,511.67,1115670
2015-01-30,280.92,321.22,236.17,315.42,2339182
2015-02-02,462.49,487.72,425.69,452.6,4629597
2015-02-03,365.62,396.34,335,364.18,3809865
2015-02-04,472.37,480.93,453.67,478.49,1583272
2015-02-05,377.59,410.34,361.41,373.35,626680
2015-02-06,138.36,151.01,104.82,119.77,3316337
2015-02-09,163.15,195.66,126,151.95,3142655
2015-02-10,209.85,223.71,174.71,186.86,4292202
2015-02-11,437.53,462.86,425.27,442.56,4285798
2015-02-12,184.75,212.28,135.24,178.33,4424579
2015-02-13,276.76,299.64,258.52,297.1,237468
2015-02-16,126.92,168.19,124.3,154.37,962050
2015-02-17,428.21,435.96,382.34,419.15,4694745
2015-02-18,460.46,509.2,438.94,473.31,2600097
2015-02-19,281.45,318.69,265.15,315.74,825137
2015-02-20,402.55,449.4,372.83,379.45,2877349
2015-02-23,205.34,239.71,171.51,209.61,641173
2015-02-24,108.74,117.71,65.31,97.65,2379346
2015-02-25,403.4,414.42,363.15,391.72,2157327
2015-02-26,363.21,372.27,323.38,336.32,2202927
2015-02-27,170.84,217.69,157.32,173.17,4899071
2015-03-02,277.78,326.74,251.94,321.52,2684647
2015-03-03,497.13,525.04,481.77,487.1,3327637
2015-03-04,223.28,241.06,202.48,241.04,3589121
2015-03-05,307.53,351.96,291.56,312.01,3233236
2015-03-06,341.49,355.86,311.03,329.68,1764018
2015-03-09,315.23,320.26,304.91,305.19,3113321
2015-03-10,359,399.09,340.39,346,1900277
2015-03-11,115.81,136.1,104.04,111.03,2678231
2015-03-12,467.78,472.92,422.68,424.37,4120037
2015-03-13,325.03,340.83,282.55,300.91,2379766
2015-03-16,294.85,296.08,249.83,290.85,4970169
2015-03-17,118.8,149.28,78.66,89.33,316612
